Principle Name,Number of References for Principle (Unique/All),Number of References for Principle and Subprinciples (Unique/All),Enumerated References for Principle
"*  (238/275)
",(238/275),(0/0),[]
"	* Guard Against Temptations and Distractions / Build Barriers to Avoid Bombardment (commandments - draw boundaries) (120/138)
",(120/138),(0/0),[]
"		* Take time to be still (build barriers from distraction) (62/72)
",(62/72),(17/22),"['(100)', '(121)', '(047)', '(119)', '(001)', '(013)', '(106)', '(017)', '(026)', '(027)', '(061)', '(066)', '(119)', '(124)', '(061)', '(103)', '(104)', '(014)', '(014)', '(015)', '(047)', '(027)']"
"			* Don’t let it interfere with your relationship with God (25/28)
",(25/28),(12/13),"['(034)', '(034)', '(073)', '(001)', '(033)', '(114)', '(048)', '(089)', '(149)', '(151)', '(105)', '(108)', '(158)']"
"				* Don’t let technology get in the way of making the Sabbath Day holy (3/4)
",(3/4),(3/4),"['(088)', '(120)', '(120)', '(122)']"
"				* Don’t let it distract from receiving truth from God (discernment) (10/11)
",(10/11),(10/11),"['(037)', '(042)', '(028)', '(138)', '(114)', '(050)', '(064)', '(026)', '(028)', '(147)', '(158)']"
"			* Don’t let it distract you from relationships with family and others (14/16)
",(14/16),(14/16),"['(115)', '(119)', '(093)', '(102)', '(119)', '(119)', '(058)', '(016)', '(110)', '(148)', '(001)', '(014)', '(017)', '(051)', '(004)', '(100)']"
"			*  (6/6)
",(6/6),(6/6),"['(009)', '(098)', '(013)', '(124)', '(030)', '(107)']"
"		* Resist natural temptations (31/32)
",(31/32),(0/0),[]
"			* In General (6/6)
",(6/6),(6/6),"['(069)', '(087)', '(070)', '(072)', '(081)', '(049)']"
"			* Resist temptation to give into doubt and fear (3/3)
",(3/3),(3/3),"['(009)', '(035)', '(088)']"
"			* Resist temptation to rely on things of man instead of God (2/2)
",(2/2),(2/2),"['(136)', '(096)']"
"			* Avoid Addictions (20/21)
",(20/21),(3/3),"['(002)', '(001)', '(012)']"
"				* Avoid Pornography (17/18)
",(17/18),(17/18),"['(064)', '(071)', '(157)', '(078)', '(106)', '(111)', '(124)', '(142)', '(143)', '(079)', '(080)', '(083)', '(022)', '(024)', '(100)', '(155)', '(156)', '(156)']"
"		* Protect families and others from evil (21/26)
",(21/26),(16/19),"['(004)', '(066)', '(156)', '(061)', '(016)', '(016)', '(028)', '(028)', '(068)', '(101)', '(086)', '(085)', '(091)', '(110)', '(092)', '(085)', '(087)', '(065)', '(082)']"
"			* Protect from pornography (3/4)
",(3/4),(3/4),"['(075)', '(083)', '(063)', '(083)']"
"			* Protect marriages through digital trust (1/1)
",(1/1),(1/1),['(074)']
"			* Protect others from cyberbullying (1/2)
",(1/2),(1/2),"['(041)', '(041)']"
"		* Avoid comparison with others and be authentic (4/5)
",(4/5),(4/5),"['(065)', '(099)', '(035)', '(016)', '(016)']"
"		* Moderate resources (2/3)
",(2/3),(2/3),"['(065)', '(065)', '(147)']"
"	* Intentionally Seek (agency) (118/137)
",(118/137),(0/0),[]
"		* Seeking content/experiences for ourselves (personal improvement) (39/46)
",(39/46),(0/0),[]
"			* Live life intentionally; Prioritize better and best things (12/15)
",(12/15),(4/6),"['(017)', '(013)', '(017)', '(017)', '(027)', '(046)']"
"				* Technology is beneficial when used wisely (8/9)
",(8/9),(8/9),"['(022)', '(100)', '(017)', '(034)', '(098)', '(111)', '(006)', '(016)', '(017)']"
"			* Seek out uplifting things (content?) (26/30)
",(26/30),(0/0),[]
"				* Useful for finding spiritual information (19/22)
",(19/22),(10/13),"['(044)', '(006)', '(109)', '(006)', '(014)', '(017)', '(045)', '(109)', '(126)', '(136)', '(129)', '(131)', '(014)']"
"					* Able to view general conference (9/9)
",(9/9),(9/9),"['(076)', '(056)', '(137)', '(037)', '(026)', '(007)', '(109)', '(146)', '(057)']"
"				* Useful for finding valuable information (7/8)
",(7/8),(7/8),"['(001)', '(009)', '(028)', '(033)', '(061)', '(107)', '(114)', '(009)']"
"			* Seek to be still (?) (1/1)
",(1/1),(1/1),['(006)']
"		* Seeking connections with others (79/91)
",(79/91),(0/0),[]
"			* Share the Gospel (35/41)
",(35/41),(0/0),[]
"				* Members Sharing the Gospel (15/19)
",(15/19),(15/19),"['(113)', '(053)', '(008)', '(125)', '(084)', '(133)', '(060)', '(011)', '(060)', '(063)', '(094)', '(150)', '(150)', '(150)', '(119)', '(125)', '(159)', '(160)', '(162)']"
"				* Missionaries Sharing the Gospel (3/3)
",(3/3),(3/3),"['(029)', '(152)', '(065)']"
"				* Members and Missionaries Working Together (4/5)
",(4/5),(4/5),"['(145)', '(094)', '(094)', '(150)', '(007)']"
"				* Technology is Rapidly Expanding Missionary Work (5/5)
",(5/5),(5/5),"['(057)', '(125)', '(135)', '(016)', '(017)']"
"				* General/ Other (8/9)
",(8/9),(8/9),"['(010)', '(055)', '(020)', '(007)', '(116)', '(013)', '(060)', '(116)', '(068)']"
"			* Research family history (16/21)
",(16/21),(11/16),"['(044)', '(028)', '(039)', '(141)', '(067)', '(067)', '(144)', '(140)', '(067)', '(148)', '(018)', '(065)', '(095)', '(095)', '(095)', '(095)']"
"				* Technology has accelerated Family History and Temple Work (5/5)
",(5/5),(5/5),"['(067)', '(018)', '(025)', '(054)', '(090)']"
"			* Serve others (13/13)
",(13/13),(8/8),"['(126)', '(130)', '(052)', '(037)', '(073)', '(013)', '(046)', '(065)']"
"				* Ministering (5/5)
",(5/5),(5/5),"['(059)', '(153)', '(052)', '(038)', '(161)']"
"			* Make meaningful connections with others (12/13)
",(12/13),(12/13),"['(010)', '(022)', '(045)', '(009)', '(020)', '(032)', '(033)', '(082)', '(093)', '(126)', '(137)', '(100)', '(100)']"
"			* Miscellaneous (3/3)
",(3/3),(0/0),[]
"				* Analogies (3/3)
",(3/3),(3/3),"['(154)', '(138)', '(086)']"
